baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GDA	22524.1559720056	2.50268547743665	0.0838055149743684	29.8630165115277	5.94928045136406e-196	1.10323456690095e-191
ADAMTS14	4994.45522432058	-2.70218190163536	0.112063717157926	-24.1129062123408	1.83036932899008e-128	1.6971184418396e-124
ALCAM	11244.6138053017	1.68605248174967	0.0744523396561493	22.6460644425217	1.52543591041441e-113	9.42922784090828e-110
CYP1A1	801.826502654508	4.65012599377393	0.213427381382482	21.7878604125329	3.0245557332338e-105	1.40218403792719e-101
MAP2	1187.36217366075	1.90048076104708	0.0904023521143411	21.0224702853234	4.08604440241294e-98	1.51543214796691e-94
GPR110	1592.76026170924	2.0166683174527	0.0988658905081365	20.3980190446647	1.74127886428125e-92	5.38171254320524e-89
CPEB2	767.978772258906	2.14275688109694	0.11075649827866	19.3465567655075	2.17923402583731e-83	5.7731022535896e-80
KLF12	4526.66135766359	1.13964778212988	0.0612720657151396	18.599793704169	3.22546596324304e-77	7.47663010279736e-74
CYP1B1	1290.13581024044	1.91822578731099	0.104621796694103	18.3348580116586	4.36153693481928e-75	8.98670454658763e-72
HS3ST1	9939.60226353829	-1.84070638609551	0.106229082043484	-17.3277067888249	2.90690386713394e-67	5.39056253121319e-64
LHFP	550.166308099398	1.70261776623822	0.0993183473977187	17.1430335970062	7.08555502401772e-66	1.19449574877622e-62
C6orf195	1513.47751623624	1.22644207528573	0.0721731914967904	16.9930420125632	9.24667238467038e-65	1.4289191058444e-61
TUBA1A	874.344790221614	1.93719664763426	0.114047569001065	16.9858653244609	1.04500973827213e-64	1.49066619896295e-61
TFPI	3031.90514192684	1.49488813552413	0.0899159688082313	16.6253909660069	4.56379803677225e-62	6.0450764852789e-59
GALNT9	2815.34240586452	1.67180000724187	0.101102493379634	16.5356951283521	2.03022544340104e-61	2.50990004149527e-58
C2orf50	304.802966093371	1.9943826701279	0.121595528533094	16.4017763990812	1.85726832499599e-60	2.15257398867036e-57
HECW2	2955.30033863336	1.73235652082465	0.109086838088712	15.8805273961269	8.64484686867389e-57	9.4300023725111e-54
TERT	2754.45910677718	-1.06555018749911	0.0698837516752065	-15.2474668568367	1.71145053955583e-52	1.76317437808463e-49
ATXN1	21892.1901872049	1.27829559367673	0.0840144721225454	15.2151833057069	2.8043287385737e-52	2.73702484884793e-49
AKAP12	24330.031369478	-1.83760821593328	0.121807396706927	-15.086179210895	1.99675067155994e-51	1.85138722267038e-48
AHRR	9146.72720611235	1.14968506123612	0.0766158854461045	15.0058314217991	6.72430410456675e-51	5.9378807292898e-48
TBC1D19	5911.12737426631	1.33070067001024	0.0888745317862112	14.9728009055649	1.10564913076292e-50	9.31961703675795e-48
VIPR1	4553.37942583106	1.0330671665334	0.0700313681070491	14.7514920021878	3.00937379034365e-49	2.42634032904925e-46
GLIPR1	2802.83436577386	-0.993443141621668	0.067358775126564	-14.7485333537469	3.14423588653248e-49	2.42944626166077e-46
RAET1E	756.053432332818	1.46863123050563	0.101318306950353	14.4952208017577	1.29884049632107e-47	9.6342792655112e-45
ASIC4	2592.0964569556	-1.10775945598106	0.0767059160532624	-14.4416430045873	2.83014281208301e-47	2.0185449348949e-44
EHBP1	12667.0737239864	-0.972909847094325	0.0683092676388434	-14.2427210936908	4.97514527609352e-46	3.41700348147697e-43
CCDC26	673.084404562013	1.44257804025952	0.10217589041816	14.1185756674662	2.91830145315744e-45	1.93274936240541e-42
CYP1B1-AS1	1241.82002719535	1.60052682833418	0.115225181750743	13.890425721319	7.24036934254536e-44	4.62984169269521e-41
ST6GAL1	2491.8568638535	-0.992124629057763	0.0721790468005566	-13.7453273911912	5.43267464323507e-43	3.35811728613837e-40
TAF4B	3866.98404043378	-0.867460541518667	0.0647527121526797	-13.3965128668787	6.33714291758942e-41	3.79083800850897e-38
HS3ST5	289.456972334931	1.78646675929444	0.134860126766788	13.2468121017249	4.70779801472002e-40	2.72816894953025e-37
MID1	16939.0713831518	1.06956468105506	0.0816572413916043	13.098222066133	3.37061077979074e-39	1.89407897880119e-36
IQCJ-SCHIP1	7412.88930273574	0.992022774411411	0.0757936898284065	13.0884612776777	3.83294075666673e-39	2.0905309821067e-36
NT5DC3	2912.4057041852	-0.79833854846661	0.0613665653015072	-13.0093405838212	1.08272340148303e-38	5.73657793060037e-36
NUP210	12483.7002941349	-0.848746589845607	0.0652584911958529	-13.0059180697016	1.13230844886798e-38	5.83264663216883e-36
FASN	16479.9448843403	-0.731022524347988	0.0562318985273994	-13.0001394847409	1.22120347298755e-38	6.12053978461651e-36
CCNG2	817.587686726283	1.47863301145476	0.1140957594602	12.9595790277425	2.07382491518837e-38	1.01202655861193e-35
ACACA	24251.7592849535	-0.615788625011329	0.0477203946715058	-12.9040974880918	4.26786395177536e-38	2.02931459286467e-35
SLCO1B7	3992.96737388391	1.0420249890177	0.0809905048627561	12.8660142418359	6.99180850498605e-38	3.24140242291153e-35
STAG1	20595.4340284522	0.982915206274132	0.0769938777821632	12.7661475767602	2.5338848284676e-37	1.1460575672952e-34
SLCO1B3	4033.90951720102	1.03887239813712	0.0818957858186304	12.6852973904891	7.13425497528781e-37	3.14994343480327e-34
IFT20	1509.09839774081	-1.01104881166708	0.0799793297914004	-12.6413763944268	1.24849084615192e-36	5.38418936070724e-34
