chr,start,end,name,class,TargetGene,TargetGeneTSS,isSelfPromoter,ABC.Score.noAux,ENCODE-rE2G.Score.noAux,ABC.Score.Aux,ENCODE-rE2G.Score.Aux,enhancer_midpoint,DistanceToTSS.Kb
chr11,64644790,64645290,genic|chr11:64644790-64645290,genic,CCND1,69641104,False,1e-06,0.0004188501837384,1e-06,0.0004505976753749,64645040,4996.064
chr11,64649335,64649835,genic|chr11:64649335-64649835,genic,CCND1,69641104,False,2e-06,0.0004435367756621,3e-06,0.0004722437977642,64649585,4991.519
chr11,64650826,64651326,genic|chr11:64650826-64651326,genic,CCND1,69641104,False,3e-06,0.000442068601734,2e-06,0.0004702232733463,64651076,4990.028
chr11,64652804,64653525,genic|chr11:64652804-64653525,genic,CCND1,69641104,False,8e-06,0.0004294669005985,6e-06,0.0004599386311452,64653164,4987.94
chr11,64659276,64660244,genic|chr11:64659276-64660244,genic,CCND1,69641104,False,1.8e-05,0.0003504994509129,3.3e-05,0.0003812077714626,64659760,4981.344
chr11,64672526,64673026,genic|chr11:64672526-64673026,genic,CCND1,69641104,False,1e-06,0.0003489013416213,1e-06,0.0003782608332238,64672776,4968.328
chr11,64688327,64689120,genic|chr11:64688327-64689120,genic,CCND1,69641104,False,1e-05,0.0003492586453508,1.3e-05,0.0003788902423734,64688723,4952.381
chr11,64703972,64704911,genic|chr11:64703972-64704911,genic,CCND1,69641104,False,3e-06,0.0003484239069724,6e-06,0.0003779848793982,64704441,4936.663
chr11,64710389,64710889,genic|chr11:64710389-64710889,genic,CCND1,69641104,False,1e-06,0.0004166066809814,2e-06,0.0004470438234403,64710639,4930.465
chr11,64712261,64712761,genic|chr11:64712261-64712761,genic,CCND1,69641104,False,3e-06,0.0004052928184663,3e-06,0.0004417960147274,64712511,4928.593
chr11,64722938,64723857,promoter|chr11:64722938-64723857,promoter,CCND1,69641104,False,8e-06,0.0087288183620008,0.000611,0.0118489527421946,64723397,4917.707
chr11,64729715,64730215,genic|chr11:64729715-64730215,genic,CCND1,69641104,False,2e-06,0.0003491596793181,1e-06,0.0003784601945637,64729965,4911.139
chr11,64737132,64737632,genic|chr11:64737132-64737632,genic,CCND1,69641104,False,1e-06,0.0003487125225218,2e-06,0.0003781367520034,64737382,4903.722
chr11,64742501,64744408,promoter|chr11:64742501-64744408,promoter,CCND1,69641104,False,0.000392,0.0107415401810839,1.2e-05,0.0094682334280718,64743454,4897.65
chr11,64750577,64751077,genic|chr11:64750577-64751077,genic,CCND1,69641104,False,1e-06,0.0003503128744893,6.5e-05,0.0004326773260008,64750827,4890.277
chr11,64759984,64761457,promoter|chr11:64759984-64761457,promoter,CCND1,69641104,False,5e-06,0.0105722130919736,5e-06,0.0114670272397177,64760720,4880.384
chr11,64762077,64763072,intergenic|chr11:64762077-64763072,intergenic,CCND1,69641104,False,2e-06,0.0004346872642499,3e-06,0.0004685429555156,64762574,4878.53
chr11,64765179,64765679,genic|chr11:64765179-64765679,genic,CCND1,69641104,False,2e-06,0.0004406343806814,2e-06,0.0004765901318248,64765429,4875.675
chr11,64767656,64768156,genic|chr11:64767656-64768156,genic,CCND1,69641104,False,2e-06,0.0004260221415607,4e-06,0.0004626785576744,64767906,4873.198
chr11,64778594,64779306,promoter|chr11:64778594-64779306,promoter,CCND1,69641104,False,4.6e-05,0.0088087671413105,6.9e-05,0.0095894402634772,64778950,4862.154
chr11,64787500,64788000,intergenic|chr11:64787500-64788000,intergenic,CCND1,69641104,False,4e-06,0.0003529635602584,3e-06,0.0003825831808211,64787750,4853.354
chr11,64803004,64804251,promoter|chr11:64803004-64804251,promoter,CCND1,69641104,False,2.1e-05,0.0087666062439138,3.6e-05,0.0095276384342457,64803627,4837.477
chr11,64809667,64810167,genic|chr11:64809667-64810167,genic,CCND1,69641104,False,0.000408,0.0005633413593145,8e-06,0.0004879680727429,64809917,4831.187
chr11,64810444,64810966,promoter|chr11:64810444-64810966,promoter,CCND1,69641104,False,1.5e-05,0.0108730366911042,1.8e-05,0.0116777505191436,64810705,4830.399
chr11,64826698,64827198,genic|chr11:64826698-64827198,genic,CCND1,69641104,False,1e-06,0.0003561082763415,2e-06,0.0003861563156408,64826948,4814.156
chr11,64835197,64835980,genic|chr11:64835197-64835980,genic,CCND1,69641104,False,8e-06,0.0003562786660221,1.3e-05,0.0003866703589654,64835588,4805.516
chr11,64842690,64843907,genic|chr11:64842690-64843907,genic,CCND1,69641104,False,2.5e-05,0.0004664387291401,0.001008,0.0006758951359749,64843298,4797.806
chr11,64844231,64845036,promoter|chr11:64844231-64845036,promoter,CCND1,69641104,False,1.8e-05,0.0115199431221879,0.000784,0.0158923454251761,64844633,4796.471
chr11,64847051,64847551,intergenic|chr11:64847051-64847551,intergenic,CCND1,69641104,False,8e-06,0.0004755173325277,1.4e-05,0.0005114487475153,64847301,4793.803
chr11,64854909,64855409,genic|chr11:64854909-64855409,genic,CCND1,69641104,False,2.6e-05,0.0004700855943033,3.6e-05,0.0005092685101755,64855159,4785.945
chr11,64856293,64857076,genic|chr11:64856293-64857076,genic,CCND1,69641104,False,3e-05,0.0004676180292237,4e-05,0.0005070017227259,64856684,4784.42
chr11,64869229,64869729,genic|chr11:64869229-64869729,genic,CCND1,69641104,False,2e-06,0.000355861805754,3e-06,0.0003858890479282,64869479,4771.625
chr11,64878530,64879322,promoter|chr11:64878530-64879322,promoter,CCND1,69641104,False,0.00138,0.015633857844859,4.9e-05,0.0117639072451057,64878926,4762.178
chr11,64879463,64879963,promoter|chr11:64879463-64879963,promoter,CCND1,69641104,False,0.000246,0.0133861772736104,8e-06,0.0124681080447188,64879713,4761.391
chr11,64887141,64888298,intergenic|chr11:64887141-64888298,intergenic,CCND1,69641104,False,9e-06,0.0003581083108716,0.000427,0.0004679982154538,64887719,4753.385
chr11,64893199,64893699,promoter|chr11:64893199-64893699,promoter,CCND1,69641104,False,4e-06,0.0106915742911637,3e-06,0.0115795840179887,64893449,4747.655
chr11,64893943,64894678,promoter|chr11:64893943-64894678,promoter,CCND1,69641104,False,5e-06,0.0105809646192335,7e-06,0.0111689791278262,64894310,4746.794
chr11,64900177,64900677,genic|chr11:64900177-64900677,genic,CCND1,69641104,False,9e-06,0.0003598051009749,0.000313,0.0004685396900783,64900427,4740.677
chr11,64917000,64917667,promoter|chr11:64917000-64917667,promoter,CCND1,69641104,False,2.6e-05,0.0087961109020419,0.001062,0.0126684101125958,64917333,4723.771
chr11,64923932,64924920,promoter|chr11:64923932-64924920,promoter,CCND1,69641104,False,1.8e-05,0.0087824976136784,2.8e-05,0.0095348565958134,64924426,4716.678
chr11,64935638,64936170,promoter|chr11:64935638-64936170,promoter,CCND1,69641104,False,2e-06,0.0087548370647325,0.000165,0.0106888345245868,64935904,4705.2
chr11,64969004,64969504,genic|chr11:64969004-64969504,genic,CCND1,69641104,False,1e-06,0.0004390794368808,2e-06,0.0004824121419533,64969254,4671.85
