element_name,chr,start,end,name,class,activity_base,activity_base_squared,TargetGene,TargetGeneTSS,TargetGeneExpression,TargetGenePromoterActivityQuantile,TargetGeneIsExpressed,distance,isSelfPromoter,powerlaw_contact,powerlaw_contact_reference,hic_contact,juicebox_contact_values,hic_contact_pl_scaled,hic_pseudocount,hic_contact_pl_scaled_adj,ABC.Score.Numerator,ABC.Score,powerlaw.Score.Numerator,powerlaw.Score,CellType,hic_contact_squared,activity_base+aux,activity_base_squared+aux,TargetGeneExpression+aux,powerlaw_contact+aux,powerlaw_contact_reference+aux,hic_contact+aux,juicebox_contact_values+aux,hic_contact_pl_scaled+aux,hic_pseudocount+aux,hic_contact_pl_scaled_adj+aux,ABC.Score.Numerator+aux,ABC.Score+aux,powerlaw.Score.Numerator+aux,powerlaw.Score+aux,hic_contact_squared+aux,distance kb,Hi-C FC(+aux/-aux),Hi-C log2FC(+aux/-aux),Hi-C log10FC(+aux/-aux)
intergenic|chr12:83700737-83701237|KITLG,chr12,83700737,83701237,intergenic|chr12:83700737-83701237,intergenic,0.366387,0.134239,KITLG,88580473,,0.812428,True,4879486.0,False,0.000148,0.00031,0.0,,0.0,0.000148,0.000148,5.4e-05,1.7e-05,0.000113,5e-06,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.366387,0.134239,,0.000245,0.00031,0.000198,0.000198,0.000198,0.000245,0.000443,0.000162,6.6e-05,0.000113,5e-06,0.0,4879.486,2.9932432432432434,1.5817095229260687,0.476142010828112
intergenic|chr12:83712832-83713332|KITLG,chr12,83712832,83713332,intergenic|chr12:83712832-83713332,intergenic,0.404616,0.163714,KITLG,88580473,,0.812428,True,4867391.0,False,0.000149,0.00031,0.0,,0.0,0.000149,0.000149,6e-05,1.9e-05,0.000126,5e-06,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.404616,0.163714,,0.000246,0.00031,0.000206,0.000206,0.000206,0.000246,0.000451,0.000183,7.4e-05,0.000126,5e-06,0.0,4867.391,3.026845637583893,1.597815102793218,0.4809902734656863
intergenic|chr12:83796433-83796933|KITLG,chr12,83796433,83796933,intergenic|chr12:83796433-83796933,intergenic,1.32313,1.750673,KITLG,88580473,,0.812428,True,4783790.0,False,0.000152,0.000315,0.0,,0.0,0.000152,0.000152,0.000201,6.2e-05,0.000417,1.7e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,1.32313,1.750673,,0.00025,0.000315,0.00017,0.00017,0.00017,0.00025,0.000419,0.000555,0.000226,0.000417,1.7e-05,0.0,4783.79,2.756578947368421,1.4628789202557666,0.4403704350215225
intergenic|chr12:83823620-83824120|KITLG,chr12,83823620,83824120,intergenic|chr12:83823620-83824120,intergenic,0.485618,0.235825,KITLG,88580473,,0.812428,True,4756603.0,False,0.000153,0.000316,0.0,,0.0,0.000153,0.000153,7.4e-05,2.3e-05,0.000154,6e-06,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.485618,0.235825,,0.000251,0.000316,0.0,,0.0,0.000251,0.000251,0.000122,5e-05,0.000154,6e-06,0.0,4756.603,1.6405228758169932,0.7141557112581207,0.2149822906634391
intergenic|chr12:83826047-83826547|KITLG,chr12,83826047,83826547,intergenic|chr12:83826047-83826547,intergenic,0.459152,0.210821,KITLG,88580473,,0.812428,True,4754176.0,False,0.000153,0.000317,0.0,,0.0,0.000153,0.000153,7e-05,2.2e-05,0.000145,6e-06,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.459152,0.210821,,0.000251,0.000317,0.0,,0.0,0.000251,0.000251,0.000115,4.7e-05,0.000145,6e-06,0.0,4754.176,1.6405228758169932,0.7141557112581207,0.2149822906634391
intergenic|chr12:83827722-83828222|KITLG,chr12,83827722,83828222,intergenic|chr12:83827722-83828222,intergenic,0.564186,0.318306,KITLG,88580473,,0.812428,True,4752501.0,False,0.000153,0.000317,0.0,,0.0,0.000153,0.000153,8.6e-05,2.7e-05,0.000179,7e-06,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.564186,0.318306,,0.000251,0.000317,0.0,,0.0,0.000251,0.000251,0.000142,5.8e-05,0.000179,7e-06,0.0,4752.501,1.6405228758169932,0.7141557112581207,0.2149822906634391
intergenic|chr12:83856638-83857138|KITLG,chr12,83856638,83857138,intergenic|chr12:83856638-83857138,intergenic,0.366758,0.134511,KITLG,88580473,,0.812428,True,4723585.0,False,0.000154,0.000318,0.0,,0.0,0.000154,0.000154,5.6e-05,1.7e-05,0.000117,5e-06,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.366758,0.134511,,0.000253,0.000318,0.0,,0.0,0.000253,0.000253,9.3e-05,3.8e-05,0.000117,5e-06,0.0,4723.585,1.642857142857143,0.7162070339994084,0.2155998003393548
intergenic|chr12:83880177-83881263|KITLG,chr12,83880177,83881263,intergenic|chr12:83880177-83881263,intergenic,2.554266,6.524275,KITLG,88580473,,0.812428,True,4699753.0,False,0.000154,0.00032,0.000626,0.000626,0.000626,0.000154,0.00078,0.001993,0.000618,0.000817,3.3e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,2.554266,6.524275,,0.000254,0.00032,0.000185,0.000185,0.000185,0.000254,0.000439,0.001121,0.000456,0.000817,3.3e-05,0.0,4699.753,0.5628205128205128,-0.8292531842142523,-0.249630082448359
intergenic|chr12:83945857-83946357|KITLG,chr12,83945857,83946357,intergenic|chr12:83945857-83946357,intergenic,1.068836,1.14241,KITLG,88580473,,0.812428,True,4634366.0,False,0.000157,0.000324,0.0,,0.0,0.000157,0.000157,0.000168,5.2e-05,0.000346,1.4e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,1.068836,1.14241,,0.000257,0.000324,0.000184,0.000184,0.000184,0.000257,0.000441,0.000472,0.000192,0.000346,1.4e-05,0.0,4634.366,2.8089171974522293,1.4900140966658937,0.448538937058605
intergenic|chr12:83955067-83955668|KITLG,chr12,83955067,83955668,intergenic|chr12:83955067-83955668,intergenic,0.585654,0.342991,KITLG,88580473,,0.812428,True,4625105.5,False,0.000157,0.000324,0.0,,0.0,0.000157,0.000157,9.2e-05,2.9e-05,0.00019,8e-06,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.585654,0.342991,,0.000258,0.000324,0.00018,0.00018,0.00018,0.000258,0.000438,0.000256,0.000104,0.00019,8e-06,0.0,4625.1055,2.7898089171974525,1.4801663107095475,0.4455744580948662
