name_hg38,name,chr,start,end,TargetGene,category,TargetGeneTSS_hg38,chr_hg38,start_hg38,end_hg38
chr11:68691700-68692200,chr11:68459168-68459668,chr11,68459168,68459668,CCND1,putative_enhancer,69641104,chr11,68691700,68692200
chr11:68751270-68751900,chr11:68518738-68519368,chr11,68518738,68519368,CCND1,putative_enhancer,69641104,chr11,68751270,68751900
chr11:68775906-68776862,chr11:68543374-68544330,chr11,68543374,68544330,CCND1,putative_enhancer,69641104,chr11,68775906,68776862
chr11:68780833-68781333,chr11:68548301-68548801,chr11,68548301,68548801,CCND1,putative_enhancer,69641104,chr11,68780833,68781333
chr11:68798161-68798661,chr11:68565629-68566129,chr11,68565629,68566129,CCND1,putative_enhancer,69641104,chr11,68798161,68798661
chr11:68816913-68817413,chr11:68584381-68584881,chr11,68584381,68584881,CCND1,putative_enhancer,69641104,chr11,68816913,68817413
chr11:68825538-68826038,chr11:68593006-68593506,chr11,68593006,68593506,CCND1,putative_enhancer,69641104,chr11,68825538,68826038
chr11:68839139-68839639,chr11:68606607-68607107,chr11,68606607,68607107,CCND1,putative_enhancer,69641104,chr11,68839139,68839639
chr11:68839892-68840392,chr11:68607360-68607860,chr11,68607360,68607860,CCND1,putative_enhancer,69641104,chr11,68839892,68840392
chr11:68840716-68841216,chr11:68608184-68608684,chr11,68608184,68608684,CCND1,putative_enhancer,69641104,chr11,68840716,68841216
chr11:68841655-68842181,chr11:68609123-68609649,chr11,68609123,68609649,CCND1,putative_enhancer,69641104,chr11,68841655,68842181
chr11:68843675-68844530,chr11:68611143-68611998,chr11,68611143,68611998,CCND1,putative_enhancer,69641104,chr11,68843675,68844530
chr11:68857470-68857970,chr11:68624938-68625438,chr11,68624938,68625438,CCND1,putative_enhancer,69641104,chr11,68857470,68857970
chr11:68863794-68864294,chr11:68631262-68631762,chr11,68631262,68631762,CCND1,putative_enhancer,69641104,chr11,68863794,68864294
chr11:68869573-68870073,chr11:68637041-68637541,chr11,68637041,68637541,CCND1,putative_enhancer,69641104,chr11,68869573,68870073
chr11:68870337-68870837,chr11:68637805-68638305,chr11,68637805,68638305,CCND1,putative_enhancer,69641104,chr11,68870337,68870837
chr11:68890028-68890528,chr11:68657496-68657996,chr11,68657496,68657996,CCND1,putative_enhancer,69641104,chr11,68890028,68890528
chr11:68903585-68904103,chr11:68671053-68671571,chr11,68671053,68671571,CCND1,putative_enhancer,69641104,chr11,68903585,68904103
chr11:68904159-68904659,chr11:68671627-68672127,chr11,68671627,68672127,CCND1,putative_enhancer,69641104,chr11,68904159,68904659
chr11:68925641-68926141,chr11:68693109-68693609,chr11,68693109,68693609,CCND1,putative_enhancer,69641104,chr11,68925641,68926141
chr11:68950247-68950747,chr11:68717716-68718216,chr11,68717716,68718216,CCND1,putative_enhancer,69641104,chr11,68950247,68950747
chr11:68956092-68956592,chr11:68723561-68724061,chr11,68723561,68724061,CCND1,putative_enhancer,69641104,chr11,68956092,68956592
chr11:68974604-68975386,chr11:68742073-68742855,chr11,68742073,68742855,CCND1,putative_enhancer,69641104,chr11,68974604,68975386
chr11:68980736-68981236,chr11:68748205-68748705,chr11,68748205,68748705,CCND1,putative_enhancer,69641104,chr11,68980736,68981236
chr11:69000692-69001192,chr11:68768160-68768660,chr11,68768160,68768660,CCND1,putative_enhancer,69641104,chr11,69000692,69001192
chr11:69008271-69009195,chr11:68775739-68776663,chr11,68775739,68776663,CCND1,putative_enhancer,69641104,chr11,69008271,69009195
chr11:69010257-69010757,chr11:68777725-68778225,chr11,68777725,68778225,CCND1,putative_enhancer,69641104,chr11,69010257,69010757
chr11:69010952-69011452,chr11:68778420-68778920,chr11,68778420,68778920,CCND1,putative_enhancer,69641104,chr11,69010952,69011452
chr11:69013132-69013749,chr11:68780600-68781217,chr11,68780600,68781217,CCND1,putative_enhancer,69641104,chr11,69013132,69013749
chr11:69044186-69044686,chr11:68811654-68812154,chr11,68811654,68812154,CCND1,putative_enhancer,69641104,chr11,69044186,69044686
chr11:69048563-69049131,chr11:68816031-68816599,chr11,68816031,68816599,CCND1,putative_enhancer,69641104,chr11,69048563,69049131
chr11:69075394-69076495,chr11:68842862-68843963,chr11,68842862,68843963,CCND1,putative_enhancer,69641104,chr11,69075394,69076495
chr11:69080304-69080804,chr11:68847772-68848272,chr11,68847772,68848272,CCND1,putative_enhancer,69641104,chr11,69080304,69080804
chr11:69086064-69086564,chr11:68853532-68854032,chr11,68853532,68854032,CCND1,putative_enhancer,69641104,chr11,69086064,69086564
chr11:69088613-69089113,chr11:68856081-68856581,chr11,68856081,68856581,CCND1,putative_enhancer,69641104,chr11,69088613,69089113
chr11:69089135-69089635,chr11:68856603-68857103,chr11,68856603,68857103,CCND1,putative_enhancer,69641104,chr11,69089135,69089635
chr11:69101334-69101834,chr11:68868802-68869302,chr11,68868802,68869302,CCND1,putative_enhancer,69641104,chr11,69101334,69101834
chr11:69119160-69119660,chr11:68886628-68887128,chr11,68886628,68887128,CCND1,putative_enhancer,69641104,chr11,69119160,69119660
chr11:69122213-69123492,chr11:68889681-68890960,chr11,68889681,68890960,CCND1,putative_enhancer,69641104,chr11,69122213,69123492
chr11:69130837-69131337,chr11:68898305-68898805,chr11,68898305,68898805,CCND1,putative_enhancer,69641104,chr11,69130837,69131337
chr11:69131483-69132203,chr11:68898951-68899671,chr11,68898951,68899671,CCND1,putative_enhancer,69641104,chr11,69131483,69132203
chr11:69137302-69137802,chr11:68904770-68905270,chr11,68904770,68905270,CCND1,putative_enhancer,69641104,chr11,69137302,69137802
chr11:69138240-69138740,chr11:68905708-68906208,chr11,68905708,68906208,CCND1,putative_enhancer,69641104,chr11,69138240,69138740
chr11:69166435-69166935,chr11:68933903-68934403,chr11,68933903,68934403,CCND1,putative_enhancer,69641104,chr11,69166435,69166935
chr11:69171312-69171812,chr11:68938780-68939280,chr11,68938780,68939280,CCND1,putative_enhancer,69641104,chr11,69171312,69171812
chr11:69172617-69173117,chr11:68940085-68940585,chr11,68940085,68940585,CCND1,putative_enhancer,69641104,chr11,69172617,69173117
chr11:69210269-69210769,chr11:68977736-68978236,chr11,68977736,68978236,CCND1,putative_enhancer,69641104,chr11,69210269,69210769
chr11:69240644-69241144,chr11:69008111-69008611,chr11,69008111,69008611,CCND1,putative_enhancer,69641104,chr11,69240644,69241144
chr11:69252898-69253398,chr11:69020365-69020865,chr11,69020365,69020865,CCND1,putative_enhancer,69641104,chr11,69252898,69253398
chr11:69259028-69259528,chr11:69026495-69026995,chr11,69026495,69026995,CCND1,putative_enhancer,69641104,chr11,69259028,69259528
chr11:69280945-69281698,chr11:69048412-69049165,chr11,69048412,69049165,CCND1,putative_enhancer,69641104,chr11,69280945,69281698
chr11:69287885-69288385,chr11:69055352-69055852,chr11,69055352,69055852,CCND1,putative_enhancer,69641104,chr11,69287885,69288385
chr11:69293089-69293589,chr11:69060556-69061056,chr11,69060556,69061056,CCND1,putative_enhancer,69641104,chr11,69293089,69293589
chr11:69293760-69294387,chr11:69061227-69061854,chr11,69061227,69061854,CCND1,putative_enhancer,69641104,chr11,69293760,69294387
